Nombre,Tipolugar,Provincia,Ciudad,Localizacion,Latitud,Longuitud
OTAVALO,ATRACTIVO TURISTICO,IMBABURA,OTAVALO,,0.2343005,-78.2610672
LAGO DE SAN PABLO,LAGUNA,IMBABURA,IBARRA,,0.2059669,78.219132
YAHUARCOCHA,LAGUNA,IMBABURA,IBARRA,PARROQUIA LA DOLOROSA DEL PRIORATO,0.3719409,-78.1005579
IBARRA,ATRACTIVO TURISTICO,IMBABURA,IBARRA,,0.3391763,-78.1222336
VALLE DEL CHOTA,ATRACTIVO TURISTICO,IMBABURA,IBARRA,A 35 KM. DE IBARRA,0.466667,-78.066667
BASÍLICA DEL CISNE,SANTURARIO NACIONAL,LOJA,LOJA,PARROQUIA EL CISNE,-3.851045,-79.426496
PARQUE PODOCARPUS,PARQUE NACIONAL,LOJA,LOJA,,-4.283333,-79
VILCABAMBA,ATRACTIVO TURISTICO,LOJA,VILCAMBABA,,-4.2623285,-79.2253776
IGLESIA CATEDRAL,IGLESIA,LOJA,LOJA,,-3.9964969,-79.2010967
PLAZA DE LA INDEPENDENCIA,PARQUE,LOJA,LOJA,,-4.00156,-79.2013171
PARQUE RECREACIONAL JIPIRO,PARQUE,LOJA,LOJA,,-3.9720197,-79.2035207
CASA DE OLMEDO,ATRACTIVO TURISTICO,LOS RÍOS,BABAHOYO,,,
PLAYAS DEL SALTO,PLAYA,LOS RÍOS,BABAHOYO,,,
ZOO EL PANTANAL,ZOOLOGICO,LOS RÍOS,BABAHOYO,,-2.0036723,79.9648543
PUERTO LÓPEZ,PLAYA,MANABÍ,PUERTO LOPEZ,,-1.5539322,-80.8045568
PARQUE NACIONAL MACHALILLA,PARQUE,MANABÍ,PUERTO MACHALILLA,,-1.5202275,-80.715857
PORTOVIEJO,ATRACTIVO TURISTICO,MANABÍ,PORTOVIEJO,,-1.054723,-80.4524903
AYAMPE,PLAYA,MANABÍ,PUERTO LÓPEZ,A 17 KM. AL SUR DE PUERTO LÓPEZ,-1.679507,-80.803711
PLAYAS DEL MURCIÉLAGO,PLAYA,MANABÍ,MANTA,,-0.9399588,-80.7330658
CASCADA LUCY,CASCADA,MORONA SANTIAGO,,,,
RIO MORONA,RIO,MORONA SANTIAGO,MORONA,,-4.733333,-77.066667
VALLE DEL RIO UPANO,RIO,MORONA SANTIAGO,MACAS,,-2.3916143,-78.2034128
CUEVAS LOS TAYOS,CUEVA,MORONA SANTIAGO,LIMÓN INDANZA,,-1.933333,-77.792778
CUEVAS DE LORAS Y GOLONDRINAS,CUEVA,MORONA SANTIAGO,TIWINTZA,A UNOS 3 KM EN EL CANTÓN DE TIWINTZA,21.599722,-99.098889
TENA,ATRACTIVO TURISTICO,NAPO,TENA,,-0.9962972,-77.8136035
PARQUE NACIONAL ARCHIDONA,PARQUE NACIONAL,NAPO,ARCHIDONA,,-0.9088177,-77.806994
CASCADA SAN RAFAEL,CASCADA,NAPO,TENA,30 KM DE LA CIUDAD DE TENA,-0.1019968,-77.5807714
PUERTO MISAHUALLÍ,PUERTO,NAPO,TENA,20 KM DE LA CIUDAD DE TENA,-1.0348151,-77.6670608
CAVERNAS DEL JUMANDY,CAVERNA,NAPO,ARCHIDONA,,-0.8753438,-77.7919361
PARQUE NACIONAL YASUNÍ,PARQUE NACIONAL,ORELLANA,YASUNI,,-1.1006555,-75.8069082
RIO NAPO,RIO,ORELLANA,PUERTO FRANCISCO DE ORELLANA,,-0.6701038,-75.6964405
CASCADA LA BELLEZA,CASCADA,ORELLANA,FRANCISCO DE ORELLANA,,,
MUSEO CICAME,MUSEO,ORELLANA,FRANCISCO DE ORELLANA,A 50 KMS. ABAJO DE COCA O FRANCISCO DE ORELLANA,-0.4411355,-76.618645
PARQUE ACUÁTICO MONTERO PUYO,PARQUE ACUATICO,PASTAZA,PUYO,,-1.487986,-78.0047258
CASCADA HOLA VIDA,CASACADA,PASTAZA,PUYO,"VÍA A MACAS, DESVÍO A LA DERECHA SECTOR NUEVO MUNDO.",,
ZOOCRIADERO DE FÁTIMA,ATRACTIVO TURISTICO,PASTAZA,PUYO,SE UBICA EN EL KM 7 VÍA PUYO - TENA,,
DIQUE DE MERA,,PASTAZA,MERA,,-1.4560321,-78.1052137
PARQUE REAL,PARQUE,PASTAZA,TARQUI,,-1.4950378,-77.9860187
CENTRO HISTÓRICO DE QUITO,ATRACTIVO TURISTICO,PICHINCA,QUITO,,-0.2188216,-78.5135489
MITAL DEL MUNDO,ATRACTIVO TURISTICO,PICHINCA,QUITO,,-0.0027576,-78.4548493
PARQUE NACIONAL ILINIZAS,PARQUE NACIONAL,PICHINCA,MACHACHI,"PARROQUIA EL CHAUPI , MACHACHI.",-0.7022878,-79.0645056
CASCADA SALTO DEL TIGRE,CASCADA,PICHINCA,PEDRO VICENTE MALDONADO,,,
FUENTES DE TESALIA,ATRACTIVO TURISTICO,PICHINCA,MACHACHI,,,
MUSEO LOS AMANTES DE SAMPA,MUSEO,SANTA ELENA,SANTA ELENA,AL SUR ESTE DE LA CIUDAD DE SANTA ELENA,-2.2335211,-80.8674806
SALINAS,PLAYA,SANTA ELENA,SALINAS,,-2.2233578,-80.9584665
MONTAÑITA,PLAYA,SANTA ELENA,SALINAS,PARROQUIA MANGLARALTO,-1.8268465,-80.7529731
PUERTO DE CARNERO,PLAYA,SANTA ELENA,SALINAS,PARROQUIA JOSÉ LUIS TAMAYO,-2.273684,-80.9612205
ACUARIO DE VALDIVIA,ACUARIO,SANTA ELENA,SALINAS,PARROQUIA MANGLARALTO,-2.27368,",-80.9612205"
SANTO DOMINGO,ATRACTIVO TURISTICO,SANTO DOMINDO DE LOS STÁCHILAS,SANTO DOMINGO,,-0.2389045,-79.1774268
PARQUE ZACAY,PARQUE,SANTO DOMINDO DE LOS STÁCHILAS,SANTO DOMINGO,,-0.2541717,-79.1688151
COMPLEJO TURISTICO RIO CRISTAL,ATRACTIVO TURISTICO,SANTO DOMINDO DE LOS STÁCHILAS,SANTO DOMINGO,A 35 KILÓMETROS DE SANTO DOMINGO,-1.7787055,-79.2773867
BOSQUE LA PERLA,BOSQUE,SANTO DOMINDO DE LOS STÁCHILAS,SANTO DOMINGO,"A 40 KM. DE SANTO DOMINGO DE LOS TSÁCHILAS, EN LA VÍA LA CONCORDIA - ESMERALDAS.",-0.014502,-79.3866092
RESERVA FAUNÍSTICA CUYABENO,RESERVA FAUNISTICA,SUCUMBÍOS,CUYABENO,,-0.2713055,-75.7531906
LAGUNA DELFINCOCHA,LAGUNA,SUCUMBÍOS,CUYABENO,DENTRO DE LA RESERVA CUYABENO,,
RIO AGUARICO,RIO,SUCUMBÍOS,CUYABENO,SE ENCUENTRA UBICADO EN LA PARROQUIA TARAPOA,-0.3715772,-76.3511371
LAGUNA GRANDE,LAGUNA,SUCUMBÍOS,CUYABENO,SE ENCUENTRA UBICADO EN LA PARROQUIA TARAPOA,-0.0554326,-79.2607628
SELVA VIRGEN,SELVA,SUCUMBÍOS,,,,
BAÑOS DE AGUA SANTA,BALNEARIO,TUNGURAHUA,BAÑOS,,-1.3928344,-78.4268758
PARQUE LA FAMILIA EN AMBATO,PARQUE,TUNGURAHUA,AMBATO,,-1.2438848,-78.6633375
CASA DE MONTALVO EN AMBATO,ATRACTIVO TURISTICO,TUNGURAHUA,AMBATO,,-1.2437069,",-78.7311897"
LA CORDILLERA DE LOS LLANGANTES,ATRACTIVO TURISTICO,TUNGURAHUA,BAÑOS DE AGUA SANTA,SE ENCUENTRA UBICADO EN LA PARROQUIA RÍO NEGRO,-1.1945173,-78.3613482
EL CARIGUAIRAZO,VOLCAN,TUNGURAHUA,,A SÓLO 10 KM DEL CHIMBORAZO,-1.4043015,-78.7567377
RIO BOMBOSCARO,RIO,ZAMORA CHIMCHIPE,ZAMORA,,-4.0620941,-78.948623
CASCADA LA CHISMOSA,CASCADA,ZAMORA CHIMCHIPE,ZAMORA,,,
CASCADA EL OSO,CASCADA,ZAMORA CHIMCHIPE,ZAMORA,,,
EL RELOJ LAS GRANDE DEL MUNDO,ATRACTIVO TURISTICO,ZAMORA CHIMCHIPE,ZAMORA,,,
